австралия,Australia
эфир,ether
конек,skate
азия,Asia
заяц,hare
сантехник,plumber
автомат,machine
взгляд,sight
опера,opera
масло,butter
болезнь,disease
лейка,watering can
стойка,rack
сердце,heart
эльф,elf
стол,table
свидетель,witness
гребень,crest
развод,divorce
кролик,rabbit
гриф,vulture
кольцо,ring
зНак,sign
покров,cover
червь,worm
концерт,concert
дама,lady
Аппарат,apparatus
дама,lady
право,right
жила,lived
овсянка,oatmeal
караул,guard
ласка,weasel
бомба,bomb
бар,bar
король,king
кость,bone
кавалер,beau
Вилка,Fork
ложе,bed
камера,camera
олимп,Olympus
тарелка,plate
зона,zone
покров,cover
пол,floor
Верфь,Shipyard
запад,west
рукав,sleeve
юпитер,Jupiter
десна,gum
блин,pancake
порода,breed
агент,agent
колода,deck
мат,mat
киви,kiwi
смерть,death
журавль,crane
призрак,ghost
разворот,spread
звезда,star
рысь,lynx
горн,horn
область,region
луч,Ray
полиция,police
налет,raid
лама,lama
собака,dog
морковь,carrot
галоп,gallop
диск,disk
замок,Castle
осьминог,octopus
вертолет,helicopter
предложение,sentence
казино,casino
амфибия,amphibian
косяк,shoal
рыцарь,knight
Высота,Height
кокетка,yoke
ключ,key
береза,Birch tree
мЁд,honey
отель,hotel
титан,titanium
тур,tour
мелочь,trifle
дух,spirit
жизнь,a life
пояс,belt
вор,thief
лошадь,horse
ствол,trunk
каша,porridge
африка,Africa
гвоздь,nail
сила,force
пляж,beach
Норка,Mink
стена,wall
китай,China
хвост,tail
кора,bark
игра,a game
ночь,night
механизм,mechanism
масса,weight
стан,mill
колонна,column
лицо,face
дракон,the Dragon
акт,Act
состав,composition
ниндзя,ninja
мексика,Mexico
глаз,eye
профиль,profile
свет,shine
дятел,woodpecker
секция,section
частица,particle
адвокат,lawyer
бумага,paper
кентавр,centaur
мост,bridge
туба,tuba
стекло,glass
няня,nanny
лимузин,limousine
паук,spider
панель,panel
миллионер,millionaire
Ацтек,Aztec
прибор,instrument
кулак,fist
канал,channel
рим,Rome
палочка,wand
борт,board
пушкин,Pushkin
медведь,bear
парашют,parachute
облом,mold
америка,America
трава,grass
сатурн,Saturn
платье,the dress
карта,map
место,a place
пингвин,penguin
антарктида,Antarctica
гранат,Garnet
снаряд,shell
образование,education
парк,the park
икра,caviar
луна,moon
удел,lot
рок,rock
липа,Linden
посольство,embassy
бокс,boxing
учитель,teacher
труба,trumpet
бутылка,bottle
бабочка,butterfly
фаланга,phalanx
мир,world
греция,Greece
вид,view
супергерой,superhero
такса,dachshund
дума,thought
корабль,ship
база,base
стул,chair
европа,Europe
горло,throat
точка,dot
утконос,platypus
больница,hospital
принцесса,a princess
башня,tower
шоколад,chocolate
банк,bank
танец,dance
единорог,unicorn
биржа,exchange
лев,a lion
флейта,flute
пассаж,passage
зуб,tooth
робот,robot
хлопок,cotton
ссылка,link
бык,bull
англия,England
вес,the weight
течение,flow
команда,team
язык,tongue
газ,gas
проводник,conductor
утка,duck
жук,bug
рейд,raid
перо,pen
узел,node
крыло,wing
соль,salt
поток,flow
подкова,horseshoe
крест,cross
пачка,pack
шпион,spy
коса,scythe
экран,screen
баня,bath
якорь,anchor
Динозавр,Dinosaur
микроскоП,microscope
вал,shaft
полис,policy
запах,smell
игла,needle
кетчуп,ketchup
лазер,laser
шуба,fur coat
станок,machine
почка,bud
дробь,fraction
пришелец,newcomer
номер,number
орел,eagle
падение,a fall
кол,stake
палец,finger
центр,Centre
яблоко,Apple
барьер,barrier
перевод,transfer
снеговик,snowman
партия,the consignment
кран,crane
ударник,drummer
пират,pirate
лад,mood
ясли,nursery
скат,ramp
пара,couple
зебра,zebra
кабинет,study
род,kind
пробка,bung
груша,pear
факел,torch
мороженое,ice cream
образ,form
ерш,ruff
берлин,Berlin
карлик,dwarf
раствор,solution
рог,horn
волна,wave
фига,fig
москва,Moscow
кенгуру,kangaroo
земля,Earth
золото,gold
пилот,pilot
кисть,brush
проспект,Avenue
площадь,square
альбом,album
боров,hog
египет,Egypt
камень,a rock
салют,salute
орган,organ
курс,course
форма,the form
мышь,mouse
перемена,turn
стопа,foot
брак,marriage
линия,line
мотив,motive
лед,ice
раковина,sink
декрет,decree
билет,ticket
мушка,foresight
кит,whale
поле,field
лук,bow
путь,way
лондон,London
привод,drive unit
клетка,cell
ученый,scientist
бочка,barrel
кадр,frame
шпагат,twine
боевик,thriller
голова,head
лес,forest
голливуд,Hollywood
совет,council
секрет,secret
гигант,giant
королева,queen
ветер,wind
ангел,angel
бревно,log
пекин,Beijing
батарея,battery
альпы,Alps
нота,note
война,war
судьба,fate
атлантида,Atlantis
машина,car
стрела,arrow
стадион,stadium
день,day
рак,cancer
ведьма,witch
небоскреб,skyscraper
индия,India
побег,the escape
токио,Tokyo
ступень,stage
век,century
вагон,railway carriage
театр,theatre
залог,pledge
контрабандист,smuggler
заноза,splinter
круг,a circle
сеть,network
край,edge
наряд,finery
яд,poison
треугольник,triangle
пистолет,pistol
палата,Ward
бермуды,Bermuda shorts
рубашка,shirt
шар,ball
франция,France
среда,Wednesday
рулетка,roulette
снег,snow
урна,urn
нью-йорк,New York
солдат,soldier
вирус,virus
кошка,cat
прокат,hire
германия,Germany
лист,sheet
пирамида,pyramid
операция,operation
огонь,Fire
байкал,Baikal
корона,crown
бассейн,pool
перчатка,glove
строй,formation
гений,genius
крошка,chit
дыра,hole
блок,block
предприниматель,entrepreneur
вода,water
плата,pay
ботинок,boot
спутник,satellite
помет,litter
нож,knife
вождь,leader
подъем,rise
институт,Institute of
рыба,fish
время,time
водолаз,diver
церковь,church
обрез,edge
венец,crown
доктор,doctor
воздух,air
повар,cook
телескоп,telescope
штат,state
урал,ural